ImageID,Source,LabelName,Confidence,XMin,XMax,YMin,YMax,IsOccluded,IsTruncated,IsGroupOf,IsDepiction,IsInside
0011d545a9314517,activemil,/m/09csl,1,0.354688,0.559272,0.894602,0.927186,0,-1,1,0,-1
0011d545a9314517,freeform,/m/03hj559,1,0.937497,0.975787,0.111060,0.186230,-1,-1,0,0,-1
0011d545a9314517,activemil,/m/01_5g,1,0.122160,0.838910,0.311271,0.655613,-1,-1,0,0,-1
0011d545a9314517,freeform,/m/03120,1,0.342056,0.976156,0.581487,0.741989,-1,1,0,1,1
0011d545a9314517,xclick,/m/01nq26,1,0.787802,0.949632,0.245169,0.441796,0,-1,1,0,-1
0011d545a9314517,activemil,/m/01j4z9,1,0.075121,0.862080,0.816821,0.902895,-1,1,-1,-1,1
0011d545a9314517,activemil,/m/05bm6,1,0.431716,0.940309,0.738125,0.910515,1,0,0,0,1
00168b55eaa2eae8,activemil,/m/0dbvp,1,0.849978,0.940956,0.685353,0.835812,0,-1,1,-1,1
002a4b1eaf3a6a10,freeform,/m/01xyhv,1,0.406226,0.990798,0.437045,0.944691,-1,1,0,-1,-1
002a4b1eaf3a6a10,xclick,/m/031n1,1,0.020292,0.843233,0.176083,0.672579,-1,1,-1,1,-1
002a4b1eaf3a6a10,activemil,/m/043nyj,1,0.135938,0.808864,0.207424,0.366620,-1,1,-1,1,-1
002a4b1eaf3a6a10,xclick,/m/01knjb,1,0.765888,0.954296,0.041494,0.801507,0,0,-1,-1,1
002a4b1eaf3a6a10,xclick,/m/0fldg,1,0.176481,0.697798,0.796008,0.823952,1,1,-1,1,1
002a4b1eaf3a6a10,activemil,/m/0ct4f,1,0.589465,0.934550,0.921968,0.979708,0,1,0,1,0
002a4b1eaf3a6a10,xclick,/m/03qrc,1,0.070380,0.483736,0.151800,0.503741,-1,0,-1,-1,-1
002a4b1eaf3a6a10,freeform,/m/01xqw,1,0.665491,0.829958,0.971182,0.972349,0,-1,1,1,-1
002a4b1eaf3a6a10,xclick,/m/0_cp5,1,0.045065,0.990825,0.576744,0.628014,0,-1,-1,-1,0
002a4b1eaf3a6a10,activemil,/m/0hnnb,1,0.943464,0.986959,0.009127,0.293722,1,0,-1,0,0
003a74cd3340ad74,xclick,/m/0b_rs,1,0.985431,0.990975,0.460886,0.884694,0,0,-1,-1,0
003a74cd3340ad74,xclick,/m/019h78,1,0.457034,0.882380,0.001197,0.960596,1,-1,-1,1,-1
003a74cd3340ad74,xclick,/m/039xj_,1,0.593267,0.630960,0.314587,0.539656,-1,1,-1,1,0
003a74cd3340ad74,activemil,/m/012074,1,0.511842,0.655827,0.324384,0.917620,1,-1,-1,-1,-1
003a74cd3340ad74,activemil,/m/07r04,1,0.278974,0.766437,0.649964,0.729627,0,0,-1,1,1
003a74cd3340ad74,xclick,/m/0cqn2,1,0.706900,0.753860,0.699096,0.913567,-1,-1,1,1,0
003a74cd3340ad74,xclick,/m/01lynh,1,0.766508,0.845774,0.882287,0.902640,-1,0,0,-1,1
003a74cd3340ad74,xclick,/m/01c648,1,0.770254,0.934372,0.994760,0.997053,1,-1,1,1,1
003a74cd3340ad74,freeform,/m/01k6s3,1,0.568203,0.996921,0.105135,0.209841,1,0,0,-1,-1
00449d50e4898a33,freeform,/m/04lvq_,1,0.045056,0.184588,0.561431,0.580811,-1,-1,0,1,-1
00449d50e4898a33,freeform,/m/0f8s22,1,0.664590,0.971917,0.878362,0.967010,1,-1,1,1,-1
00449d50e4898a33,xclick,/m/09rvcxw,1,0.322653,0.937117,0.965950,0.972233,1,-1,-1,-1,-1
00449d50e4898a33,xclick,/m/0d4v4,1,0.440924,0.747801,0.867195,0.883081,-1,0,-1,1,0
00449d50e4898a33,activemil,/m/0k4j,1,0.948609,0.970028,0.846993,0.913511,0,1,-1,-1,1
00449d50e4898a33,activemil,/m/05z6w,1,0.118806,0.277379,0.516089,0.954468,-1,-1,1,-1,1
00449d50e4898a33,activemil,/m/03bbps,1,0.219625,0.761915,0.892158,0.936444,0,1,0,-1,0
00449d50e4898a33,activemil,/m/084zz,1,0.032205,0.642548,0.041213,0.482518,0,1,1,1,0
00449d50e4898a33,xclick,/m/0dbzx,1,0.657555,0.967772,0.415592,0.845200,-1,0,1,-1,0
00492c33ba1a33d6,xclick,/m/0xzly,1,0.385331,0.452176,0.402547,0.452988,-1,1,1,-1,1
00492c33ba1a33d6,freeform,/m/07pj7bq,1,0.861425,0.874920,0.977834,0.994357,0,1,0,-1,-1
00492c33ba1a33d6,activemil,/m/01dwwc,1,0.917396,0.981355,0.020402,0.979313,0,-1,-1,1,-1
00492c33ba1a33d6,xclick,/m/07mhn,1,0.858243,0.990178,0.636158,0.953294,0,1,0,0,-1
00492c33ba1a33d6,activemil,/m/0f6wt,1,0.601717,0.997517,0.189101,0.677742,0,0,-1,0,-1
00492c33ba1a33d6,freeform,/m/04vv5k,1,0.742247,0.915197,0.072206,0.734275,1,0,0,0,0
00492c33ba1a33d6,xclick,/m/09csl,1,0.124661,0.392943,0.524281,0.611922,-1,1,1,1,0
004d530fdfba6422,freeform,/m/012n7d,1,0.659571,0.746098,0.218118,0.292160,0,1,0,0,1
004d530fdfba6422,activemil,/m/0l14j_,1,0.248529,0.339594,0.580248,0.635440,-1,1,1,0,0
004d530fdfba6422,freeform,/m/0cmf2,1,0.320149,0.420862,0.752600,0.786041,0,-1,-1,1,0
004d530fdfba6422,activemil,/m/0km7z,1,0.890745,0.988574,0.769637,0.780499,0,0,1,1,1
004d530fdfba6422,activemil,/m/0gd2v,1,0.679148,0.830759,0.149158,0.609918,1,-1,1,1,1
0052952dd8c4329f,activemil,/m/04v6l4,1,0.634258,0.979444,0.719121,0.894208,-1,1,0,0,1
0052952dd8c4329f,activemil,/m/04szw,1,0.420756,0.692538,0.147999,0.408886,0,-1,0,-1,0
0065960fbb1be446,freeform,/m/06__v,1,0.935068,0.962750,0.562926,0.745387,1,0,0,0,-1
0065960fbb1be446,freeform,/m/04vv5k,1,0.548796,0.645252,0.561362,0.563143,0,1,-1,1,-1
0065960fbb1be446,activemil,/m/0242l,1,0.919115,0.972726,0.416222,0.642253,1,1,1,0,-1
0065960fbb1be446,activemil,/m/024d2,1,0.290314,0.350457,0.427372,0.487061,0,1,-1,0,-1
0065960fbb1be446,xclick,/m/02crq1,1,0.603299,0.745469,0.362942,0.590299,1,-1,-1,1,0
0065960fbb1be446,freeform,/m/033cnk,1,0.698988,0.931425,0.893277,0.941414,1,0,-1,1,1
006a48384e858fed,activemil,/m/0by6g,1,0.205039,0.259846,0.800767,0.976811,1,0,1,1,-1
006a48384e858fed,activemil,/m/01dws,1,0.840021,0.923140,0.868576,0.956557,-1,0,-1,-1,-1
