ImageID,Source,LabelName,Condidence
0011d545a9314517,verification,/m/0167m6,0
0011d545a9314517,verification,/m/06dsww,1
0011d545a9314517,crowdsource-verification,/m/06f8q,0
0011d545a9314517,crowdsource-verification,/m/025s7vs,0
0011d545a9314517,crowdsource-verification,/m/0d18t1,1
0011d545a9314517,machine,/m/043jgq,0
00168b55eaa2eae8,verification,/m/01t3_,1
00168b55eaa2eae8,verification,/m/04nz4j,1
00168b55eaa2eae8,crowdsource-verification,/m/0lz27,1
00168b55eaa2eae8,crowdsource-verification,/m/012mqx,1
00168b55eaa2eae8,verification,/m/02kkzl,0
00168b55eaa2eae8,machine,/m/06zdj,1
00168b55eaa2eae8,machine,/m/01qkxh,1
00168b55eaa2eae8,crowdsource-verification,/m/07ncqz,0
00168b55eaa2eae8,verification,/m/05_sd3,0
00168b55eaa2eae8,verification,/m/0bd7td,0
002a4b1eaf3a6a10,machine,/m/08svdv,0
002a4b1eaf3a6a10,verification,/m/03b6_4,1
002a4b1eaf3a6a10,crowdsource-verification,/m/01bgl6,0
002a4b1eaf3a6a10,machine,/m/020m7t,0
003a74cd3340ad74,crowdsource-verification,/m/01s4b5,0
003a74cd3340ad74,verification,/m/016nmn,1
003a74cd3340ad74,crowdsource-verification,/m/01gyh6,1
003a74cd3340ad74,machine,/m/06hf0n,0
003a74cd3340ad74,crowdsource-verification,/m/06f80g,0
003a74cd3340ad74,machine,/m/0j62f,0
003a74cd3340ad74,verification,/m/06x12f,1
003a74cd3340ad74,machine,/m/04cvvd7,1
003a74cd3340ad74,machine,/m/0b6h2fq,0
003a74cd3340ad74,verification,/m/0m91c,1
00449d50e4898a33,verification,/m/05_5xcc,1
00449d50e4898a33,verification,/m/033lpr,1
00449d50e4898a33,machine,/m/016gcr,1
00449d50e4898a33,machine,/m/01jkf3,0
00449d50e4898a33,verification,/m/022pgh,0
00449d50e4898a33,crowdsource-verification,/m/06n0gv,0
00449d50e4898a33,verification,/m/0bgyd8,1
00492c33ba1a33d6,verification,/m/0d1tkq,1
00492c33ba1a33d6,crowdsource-verification,/m/01_p8q,1
004d530fdfba6422,machine,/m/0bxr4,0
004d530fdfba6422,crowdsource-verification,/m/0253n6,1
0052952dd8c4329f,machine,/m/026rclh,1
0052952dd8c4329f,machine,/m/0cr6gr,1
0052952dd8c4329f,verification,/m/01bg6m,1
0052952dd8c4329f,crowdsource-verification,/m/06zfw,0
0052952dd8c4329f,machine,/m/014dn0,1
0052952dd8c4329f,verification,/m/027rsz,1
0052952dd8c4329f,verification,/m/042cgf,1
0052952dd8c4329f,verification,/m/022n8y,1
0052952dd8c4329f,machine,/m/01hp05,0
0065960fbb1be446,crowdsource-verification,/m/02z1_1,1
0065960fbb1be446,verification,/m/0zbxyxj,1
0065960fbb1be446,machine,/m/0cwgk2,1
0065960fbb1be446,machine,/m/0f96h,0
0065960fbb1be446,machine,/m/05c1ypb,1
006a48384e858fed,crowdsource-verification,/m/0bg2p,0
006a48384e858fed,crowdsource-verification,/m/0_qksy6,1
006a48384e858fed,crowdsource-verification,/m/03wbh_f,0
